early_late,word,n,tf,idf,tf_idf
early,thinking,2,0.012578616352201259,0.6931471805599453,0.008718832459873526
early,data,39,0.24528301886792453,0,0
early,skills,19,0.11949685534591195,0,0
early,management,18,0.11320754716981132,0,0
early,research,18,0.11320754716981132,0,0
early,communication,17,0.1069182389937107,0,0
early,presentation,10,0.06289308176100629,0,0
early,report,8,0.050314465408805034,0,0
early,analysis,7,0.0440251572327044,0,0
early,writing,7,0.0440251572327044,0,0
late,data,55,0.28205128205128205,0,0
late,research,25,0.1282051282051282,0,0
late,communication,22,0.11282051282051282,0,0
late,presentation,22,0.11282051282051282,0,0
late,skills,15,0.07692307692307693,0,0
late,analysis,13,0.06666666666666667,0,0
late,management,13,0.06666666666666667,0,0
late,report,11,0.05641025641025641,0,0
late,collaboration,7,0.035897435897435895,0,0
late,leadership,5,0.02564102564102564,0,0
